瘤痢,瘤痢疙,老矫,扁柯(∑C),碍荐樊(mm),浅加(m/s),浅氢(16规困),嚼档(%),泅瘤扁拘(hPa),老炼(hr),老荤(MJ/m2),利汲(cm),傈款樊(10盒困),矫沥(10m),瘤搁惑怕(瘤搁惑怕内靛),瘤搁柯档(∑C)
131,没林,2019-07-01 00:00,23.3,,1.3,250,84,997.4,,,,8,643,,22.6
131,没林,2019-07-01 01:00,23.2,,.8,250,86,997.3,,,,10,547,,23.1
131,没林,2019-07-01 02:00,23.1,,1.1,250,86,997,,,,7,506,,23.1
131,没林,2019-07-01 03:00,23,,1.3,250,87,997.1,,,,9,472,,23
131,没林,2019-07-01 04:00,22.7,,.6,250,88,997.3,,,,9,366,,22.2
131,没林,2019-07-01 05:00,22.2,,1.4,270,90,997.6,,,,10,224,,22
131,没林,2019-07-01 06:00,22.3,,.8,250,90,998.2,0,.07,,8,164,,22.5
131,没林,2019-07-01 07:00,22.7,0,.7,250,88,998.2,0,.24,,10,248,,23.1
131,没林,2019-07-01 08:00,23,0,.4,0,84,998.4,0,.31,,10,260,,24.2
131,没林,2019-07-01 09:00,23.7,0,1.5,250,80,998.6,0,.65,,10,581,,25.8
131,没林,2019-07-01 10:00,24,0,1.7,290,74,998.5,0,1.02,,10,679,,26.8
131,没林,2019-07-01 11:00,24.7,,1.3,270,64,998.7,0,1.26,,10,1138,,28.7
131,没林,2019-07-01 12:00,26,,1.7,200,61,999.3,.2,2.27,,8,1068,,33.1
131,没林,2019-07-01 13:00,26.7,,1.8,270,58,999.1,.3,2.45,,8,1445,,32.3
131,没林,2019-07-01 14:00,26.5,,1.8,250,60,998.9,0,1.37,,9,1340,,30
131,没林,2019-07-01 15:00,27.7,,2.1,270,58,998.9,.4,1.71,,8,1408,,34.2
131,没林,2019-07-01 16:00,27.6,,2.3,250,53,998.9,1,1.74,,8,2548,,31.7
131,没林,2019-07-01 17:00,27.2,,1.9,250,61,998.8,.2,1.05,,7,1934,,29.8
131,没林,2019-07-01 18:00,27.5,,2.1,250,54,998.7,.6,1.12,,6,1050,,29.3
131,没林,2019-07-01 19:00,26.7,,1.5,250,59,999,1,.78,,6,1951,,25.6
131,没林,2019-07-01 20:00,25.3,,1.5,250,61,999.1,.1,.11,,2,2549,,23.2
131,没林,2019-07-01 21:00,24.2,,1.2,250,64,999.9,,,,4,2731,,22.1
131,没林,2019-07-01 22:00,23.3,,1.3,250,68,1000.6,,,,1,2567,,21.3
131,没林,2019-07-01 23:00,22.5,,.9,250,72,1001.1,,,,0,2176,,20.7
